filename,worker,CT spam,manual spam,workerCosine,workerDisagreement,sounds,keywordsPerSound,wordsPerSound,charPerSound,wordsPerKeyword,charPerKeyword,charPerWord
1-1-99-f669064.csv,28703583,0,0,0.781,0.771,30,1.467,1.7,9.667,1.159,6.591,5.686
1-1-99-f669064.csv,16826339,0,0,0.884,0.859,6,1.0,1.333,8.833,1.333,8.833,6.625
1-1-99-f669064.csv,11864493,0,0,0.718,0.775,3,1.0,1.333,9.667,1.333,9.667,7.25
1-1-99-f669064.csv,6352345,0,0,0.858,0.844,9,1.222,1.333,8.333,1.091,6.818,6.25
1-1-99-f669064.csv,19495345,0,0,0.592,0.55,3,2.667,5.0,30.0,1.875,11.25,6.0
1-1-99-f669064.csv,6228981,0,0,0.738,0.758,15,3.133,3.4,17.067,1.085,5.447,5.02
1-1-99-f669064.csv,28755767,0,0,0.729,0.771,29,1.069,1.241,7.586,1.161,7.097,6.111
1-1-99-f669064.csv,1495820,0,0,0.889,0.838,9,2.778,3.111,16.778,1.12,6.04,5.393
1-1-99-f669064.csv,16762164,0,0,0.739,0.725,4,5.0,7.25,42.75,1.45,8.55,5.897
1-1-99-f669064.csv,27077723,0,0,0.711,0.766,29,1.172,1.448,8.207,1.235,7.0,5.667
1-1-99-f669064.csv,27939470,0,0,0.707,0.778,29,1.0,1.966,12.483,1.966,12.483,6.351
1-1-99-f669064.csv,30695793,0,0,0.972,0.887,15,1.0,2.733,12.533,2.733,12.533,4.585
2-1-150-f680552.csv,20106408,0,0,0.708,0.833,6,5.0,5.833,36.667,1.167,7.333,6.286
2-1-150-f680552.csv,29611985,0,0,0.789,0.78,30,1.6,2.1,12.667,1.313,7.917,6.032
2-1-150-f680552.csv,26151546,0,0,0.758,0.784,36,1.25,2.167,12.222,1.733,9.778,5.641
2-1-150-f680552.csv,21678835,0,0,0.352,0.6,3,1.667,1.667,9.333,1.0,5.6,5.6
2-1-150-f680552.csv,12918534,0,0,0.747,0.788,15,2.0,2.133,11.467,1.067,5.733,5.375
2-1-150-f680552.csv,9001027,0,0,0.839,0.86,6,3.333,3.333,20.833,1.0,6.25,6.25
