# ----------------------------------------
# Search page
# Search Terms
# 20150316-20150818
# ----------------------------------------

Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth
slap,"7,688",2.10,31.98%,37.33%,00:03:01,0.02
crickets,"7,553",2.24,38.92%,30.32%,00:03:47,0.03
violin,"7,483",3.08,33.53%,25.33%,00:04:02,0.04
gong,"7,481",2.53,44.15%,25.05%,00:03:23,0.03
ambience,"7,449",2.29,26.07%,35.25%,00:02:52,0.04
funny,"7,433",2.56,33.10%,29.35%,00:02:46,0.07
war,"7,383",2.88,33.70%,27.59%,00:04:22,0.03
camera,"7,282",2.33,46.02%,26.74%,00:03:03,0.03
robot,"7,237",3.19,30.99%,24.85%,00:04:08,0.03
beach,"7,213",2.11,36.10%,34.85%,00:03:18,0.03
wood,"7,190",2.62,24.51%,32.41%,00:03:13,0.03
sad,"7,180",2.34,37.42%,30.80%,00:03:52,0.05
fight,"7,148",2.71,25.29%,31.39%,00:03:21,0.03
swish,"7,072",2.48,32.93%,31.05%,00:03:33,0.03
footstep,"7,038",2.90,37.00%,25.61%,00:04:20,0.02
game over,"6,936",3.07,44.06%,21.69%,00:04:14,0.03
breath,"6,899",2.54,31.74%,30.52%,00:03:49,0.03
party,"6,888",2.48,32.87%,31.93%,00:03:36,0.03
news,"6,880",3.07,50.60%,19.93%,00:04:22,0.05
trumpet,"6,856",2.80,37.50%,26.74%,00:03:33,0.02
win,"6,834",2.78,33.98%,28.06%,00:03:39,0.04
tv,"6,782",2.66,31.14%,30.42%,00:03:22,0.03
electricity,"6,766",3.03,37.79%,23.81%,00:04:38,0.02
dubstep,"6,761",3.16,46.46%,20.85%,00:04:12,0.06
storm,"6,707",2.00,31.52%,38.41%,00:03:09,0.02
helicopter,"6,673",2.35,41.96%,27.96%,00:04:09,0.02
police,"6,570",2.46,35.43%,31.23%,00:03:35,0.03
typing,"6,542",1.89,39.85%,35.73%,00:03:20,0.03
walk,"6,540",2.36,28.94%,35.06%,00:03:50,0.03
record scratch,"6,539",2.04,64.90%,19.42%,00:03:14,0.03
shot,"6,445",2.38,34.10%,30.89%,00:03:03,0.02
bubble,"6,359",2.38,36.12%,30.63%,00:03:48,0.04
voice,"6,352",3.25,36.57%,21.77%,00:03:30,0.04
street,"6,350",2.03,31.12%,38.45%,00:03:19,0.02
rock,"6,314",2.40,28.94%,32.44%,00:02:32,0.05
background music,"6,312",2.88,37.99%,25.28%,00:03:59,0.03
jazz,"6,291",2.99,41.17%,23.81%,00:03:54,0.07
airplane,"6,193",2.37,35.90%,31.54%,00:03:27,0.02
lightning,"6,180",2.23,37.22%,32.07%,00:03:50,0.02
cheering,"6,177",2.31,36.80%,31.95%,00:03:10,0.02
snare,"6,129",3.36,38.41%,21.01%,00:03:47,0.04
orgasm,"6,127",2.73,59.74%,17.91%,00:03:36,0.03
school bell,"6,094",2.10,49.92%,27.33%,00:03:39,0.03
ping,"6,053",2.56,28.27%,31.51%,00:02:42,0.03
office,"6,022",3.05,41.27%,23.91%,00:04:47,0.03
slide,"5,993",2.45,25.31%,34.57%,00:03:27,0.02
background,"5,985",2.40,28.42%,32.49%,00:02:46,0.07
whip,"5,949",2.33,39.13%,30.26%,00:03:30,0.02
transition,"5,899",3.23,38.52%,22.12%,00:04:31,0.04
car horn,"5,895",2.45,40.08%,28.08%,00:03:57,0.01
beat,"5,846",2.40,30.72%,31.88%,00:03:07,0.07
chime,"5,809",2.83,34.77%,26.32%,00:03:03,0.04
sigh,"5,795",2.22,26.11%,39.25%,00:03:46,0.02
engine,"5,776",2.23,25.09%,35.72%,00:02:46,0.06
vinyl,"5,752",2.35,56.61%,21.31%,00:02:57,0.04
keyboard,"5,749",1.87,39.33%,35.57%,00:03:12,0.02
jungle,"5,732",2.42,38.43%,29.87%,00:03:55,0.04
thump,"5,717",2.30,25.12%,37.15%,00:03:10,0.01
roar,"5,707",2.55,31.44%,31.07%,00:03:31,0.02
zombie,"5,704",2.96,40.87%,24.24%,00:04:38,0.03
typewriter,"5,703",2.20,56.99%,22.63%,00:03:48,0.04
drone,"5,702",2.72,37.55%,25.93%,00:04:09,0.03
noise,"5,688",2.29,32.14%,32.40%,00:02:47,0.04
heart,"5,666",2.32,41.92%,28.12%,00:03:33,0.03
jingle,"5,661",3.26,33.81%,23.24%,00:03:33,0.08
electric,"5,645",2.47,23.83%,34.48%,00:02:53,0.05
monster,"5,611",2.87,34.17%,26.46%,00:04:24,0.03
white noise,"5,566",1.89,44.84%,31.89%,00:02:51,0.03
river,"5,515",2.05,34.11%,36.90%,00:03:48,0.02
step,"5,504",2.54,27.87%,32.08%,00:03:32,0.02
dramatic,"5,474",2.62,36.90%,27.93%,00:03:58,0.04
chimes,"5,457",2.46,33.24%,30.66%,00:03:16,0.02
run,"5,431",2.20,26.13%,38.86%,00:03:40,0.03
plane,"5,405",2.11,28.68%,38.42%,00:03:07,0.02
loop,"5,402",3.85,39.12%,17.80%,00:04:54,0.09
error,"5,399",3.07,39.32%,23.30%,00:03:34,0.02
machine,"5,385",2.76,25.78%,29.77%,00:03:49,0.02
fail,"5,381",2.63,32.17%,30.14%,00:02:53,0.02
cow,"5,380",2.08,34.81%,35.38%,00:03:13,0.03
fanfare,"5,355",2.94,42.41%,23.44%,00:04:01,0.03
lion,"5,350",2.14,33.25%,36.39%,00:03:04,0.02
police siren,"5,330",2.16,42.72%,31.46%,00:03:48,0.02
night,"5,324",2.20,32.48%,34.11%,00:03:38,0.03
underwater,"5,311",2.68,39.63%,26.31%,00:04:49,0.02
gasp,"5,308",2.02,27.52%,39.71%,00:03:21,0.02
money,"5,288",2.23,23.03%,39.32%,00:02:27,0.02
cheer,"5,282",2.30,35.40%,32.21%,00:03:05,0.01
fireworks,"5,281",2.62,48.46%,23.40%,00:04:18,0.03
