# ----------------------------------------
# Search page
# Search Terms
# 20150316-20150818
# ----------------------------------------

Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth
paint,"1,096",2.30,20.16%,40.78%,00:02:59,0.02
lift,"1,093",2.19,23.97%,38.81%,00:03:15,0.02
movement,"1,093",2.13,17.11%,42.50%,00:02:59,0.02
soft wind,"1,093",2.06,28.27%,37.38%,00:03:23,<0.01
sound effects,"1,093",3.00,32.02%,24.83%,00:03:56,0.07
moo,"1,091",2.02,35.66%,35.04%,00:03:04,0.03
retro,"1,091",3.68,34.46%,20.43%,00:04:02,0.07
inside car,"1,089",2.32,37.74%,30.38%,00:04:19,<0.01
lever,"1,089",2.60,27.27%,33.32%,00:03:54,0.01
classical music,"1,088",2.35,32.90%,34.01%,00:03:21,0.02
building,"1,086",1.97,17.03%,46.07%,00:02:34,0.04
canon,"1,085",1.75,18.71%,51.23%,00:01:44,0.02
bongo,"1,084",2.98,40.87%,23.17%,00:03:49,0.06
curtain,"1,082",2.35,27.63%,36.41%,00:04:02,0.01
good,"1,082",2.39,18.11%,37.78%,00:02:09,0.02
kissing,"1,081",2.32,32.65%,34.86%,00:02:53,0.01
race,"1,081",2.33,24.51%,37.38%,00:02:24,0.05
room ambience,"1,081",2.12,37.47%,32.18%,00:04:00,0.02
sports,"1,080",2.26,27.41%,37.36%,00:02:03,0.01
apple,"1,079",1.78,26.41%,46.05%,00:02:38,0.02
epic music,"1,079",2.31,39.76%,31.18%,00:03:24,0.01
psycho,"1,079",2.16,29.66%,37.04%,00:03:21,0.03
scifi,"1,078",3.35,33.95%,21.77%,00:03:55,0.09
beeps,"1,077",3.12,35.38%,23.67%,00:03:29,0.01
dripping,"1,077",2.30,27.95%,35.06%,00:03:29,0.01
female voice,"1,077",4.01,34.63%,18.03%,00:04:58,0.02
magic wand,"1,076",2.23,35.69%,32.64%,00:03:18,0.02
trumpets,"1,075",2.29,30.88%,34.80%,00:03:08,0.02
newspaper,"1,074",2.09,25.05%,40.39%,00:04:19,0.01
anvil,"1,073",2.44,37.28%,28.44%,00:02:59,0.05
sfx,"1,073",4.35,32.90%,16.84%,00:04:29,0.04
wosh,"1,071",1.44,13.63%,64.22%,00:01:09,0.06
truck horn,"1,070",2.18,32.80%,37.67%,00:03:05,0.01
emergency,"1,069",2.50,23.48%,34.43%,00:03:05,<0.01
pong,"1,069",2.00,37.42%,35.33%,00:02:21,0.07
futuristic,"1,068",3.07,31.55%,25.35%,00:04:21,0.06
aplause,"1,067",1.54,38.89%,45.65%,00:02:22,0.02
wind chime,"1,067",2.31,42.27%,27.64%,00:03:32,0.04
cup,"1,066",2.18,19.14%,41.54%,00:03:31,<0.01
radar,"1,063",2.31,31.80%,33.90%,00:03:41,0.04
boat horn,"1,062",1.85,38.14%,37.26%,00:03:15,0.01
flies,"1,062",2.18,33.90%,34.83%,00:04:04,0.02
stick,"1,062",2.04,20.53%,43.25%,00:02:19,0.03
air raid,"1,060",2.16,47.64%,28.36%,00:03:10,0.04
sirene,"1,060",2.30,32.36%,34.05%,00:03:00,<0.01
edm,"1,059",2.96,51.46%,19.26%,00:03:34,0.05
food,"1,059",2.34,21.81%,37.22%,00:02:22,0.03
wilhelm,"1,058",1.39,46.41%,41.46%,00:02:31,0.04
cinematic boom,"1,057",2.15,54.68%,23.59%,00:03:38,0.03
jackpot,"1,056",1.57,24.15%,55.96%,00:01:57,0.01
finger snap,"1,055",2.10,58.86%,21.23%,00:03:07,0.05
chill,"1,054",2.67,34.25%,27.09%,00:03:37,0.05
hero,"1,052",2.05,25.67%,41.35%,00:02:45,0.04
oh yeah,"1,052",1.99,35.08%,37.92%,00:02:58,0.04
shuffle,"1,052",2.02,18.63%,44.01%,00:02:19,<0.01
road,"1,050",1.88,27.24%,43.23%,00:03:14,0.03
pipe,"1,048",2.05,21.09%,42.26%,00:02:23,0.01
aww,"1,047",1.45,33.14%,52.61%,00:02:18,0.04
watch,"1,046",2.14,26.67%,38.54%,00:02:43,0.02
lighting,"1,045",1.51,8.90%,65.95%,00:01:06,0.01
old car,"1,045",2.42,26.03%,35.55%,00:03:41,<0.01
page,"1,044",1.80,40.13%,36.26%,00:03:10,0.02
farts,"1,043",2.65,42.95%,26.63%,00:03:10,0.03
horns,"1,042",2.04,21.79%,42.81%,00:02:15,0.01
dial tone,"1,039",1.78,35.32%,41.42%,00:02:40,0.02
jumpscare,"1,038",2.97,32.76%,26.13%,00:02:57,0.02
pour,"1,038",2.37,20.33%,38.23%,00:03:16,<0.01
rabbit,"1,038",1.82,25.63%,48.09%,00:02:38,0.01
hydraulic,"1,037",2.75,35.49%,27.26%,00:04:58,0.04
burst,"1,035",2.55,17.87%,36.50%,00:03:02,0.02
accident,"1,034",2.07,23.79%,41.48%,00:02:52,<0.01
baby laugh,"1,034",2.03,40.43%,32.90%,00:03:30,0.02
french,"1,034",2.74,31.72%,28.57%,00:03:09,0.04
lava,"1,034",1.95,33.27%,39.21%,00:03:38,0.07
desert wind,"1,033",2.17,37.56%,32.53%,00:03:49,0.02
leather,"1,033",2.27,29.82%,35.20%,00:04:02,0.02
pow,"1,033",1.92,20.91%,46.54%,00:02:08,0.06
chord,"1,032",3.04,34.50%,23.99%,00:03:24,0.03
dragging,"1,032",2.77,23.55%,31.39%,00:03:47,0.01
flames,"1,032",2.25,27.81%,36.12%,00:03:24,<0.01
holy,"1,032",1.99,17.54%,48.42%,00:02:22,0.03
spanish,"1,032",3.06,31.30%,25.66%,00:03:23,0.02
boiling,"1,031",1.98,26.48%,40.21%,00:03:50,<0.01
people screaming,"1,031",2.14,22.60%,41.10%,00:03:22,0.01
reveal,"1,031",2.37,29.39%,33.28%,00:03:31,0.02
dropping,"1,030",3.07,16.60%,30.90%,00:03:09,<0.01
machinery,"1,030",2.62,27.57%,30.89%,00:03:55,0.02
murmur,"1,027",2.19,22.98%,40.68%,00:03:01,0.04
rip,"1,027",1.86,25.80%,43.19%,00:02:51,0.03
rock music,"1,024",2.45,42.19%,28.86%,00:03:37,0.03
skid,"1,023",2.04,28.05%,40.32%,00:03:09,<0.01
blowjob,"1,022",1.46,46.67%,42.67%,00:01:44,0.01
karate,"1,022",1.79,27.01%,47.01%,00:02:55,0.02
vibration,"1,022",2.10,35.81%,34.08%,00:03:16,0.02
witch,"1,021",2.51,30.95%,31.82%,00:02:56,0.01
office ambience,"1,020",2.24,44.12%,29.19%,00:04:21,0.02
dog growl,"1,017",2.28,39.43%,29.58%,00:04:14,0.02
chop,"1,016",2.25,20.57%,39.36%,00:02:50,<0.01
hell,"1,016",2.62,36.81%,27.32%,00:04:26,0.03
sing,"1,016",2.53,27.46%,31.10%,00:02:49,0.05
sleeping,"1,015",2.06,25.22%,41.82%,00:03:13,0.01
fall down,"1,012",2.47,22.13%,35.81%,00:03:10,0.01
dogs barking,"1,011",2.74,35.21%,27.37%,00:03:52,0.02
body,"1,010",2.82,24.95%,29.07%,00:03:18,0.02
heavy metal,"1,010",2.49,31.88%,29.92%,00:02:46,0.02
ok,"1,010",2.11,22.18%,42.05%,00:02:01,0.04
slow,"1,010",2.24,20.59%,38.86%,00:02:33,0.07
radio noise,"1,009",2.29,44.30%,26.39%,00:03:33,0.02
footsteps wood,"1,008",2.10,30.46%,35.97%,00:04:08,<0.01
funky,"1,008",2.73,37.80%,25.58%,00:03:26,0.07
stabbing,"1,007",2.17,24.23%,41.37%,00:03:22,0.01
game sound,"1,005",3.57,33.23%,20.83%,00:04:05,0.04
mumbling,"1,005",2.24,23.48%,40.82%,00:03:22,0.01
tire screech,"1,004",1.76,32.77%,42.69%,00:03:14,0.02
deer,"1,002",1.84,37.72%,39.76%,00:02:49,0.01
crashing,"1,000",2.20,20.00%,40.60%,00:02:56,0.02
torch,998,2.13,23.15%,40.42%,00:02:33,<0.01
angels,993,2.08,28.60%,37.88%,00:03:01,0.02
bubbling,991,2.08,33.00%,35.47%,00:03:21,0.02
kill,991,2.01,20.38%,43.54%,00:02:12,0.02
wake up,989,2.08,23.26%,41.82%,00:02:41,<0.01
engine start,988,2.17,29.35%,37.13%,00:03:10,0.02
games,988,3.54,40.49%,19.69%,00:04:23,0.09
strike,986,1.87,12.58%,50.49%,00:01:40,0.02
tv show,985,2.09,23.76%,41.36%,00:02:44,<0.01
swoop,983,2.07,24.92%,40.31%,00:03:03,0.03
TV,983,2.55,30.52%,30.43%,00:03:21,0.03
powerup,982,2.80,30.75%,27.45%,00:03:29,0.05
chorus,981,2.13,29.15%,38.33%,00:02:54,0.04
transformers,981,2.94,40.57%,22.88%,00:04:36,0.06
card,980,2.43,36.73%,29.99%,00:04:18,0.07
pokemon,979,1.68,34.83%,47.20%,00:01:51,0.06
mysterious,978,2.41,34.97%,30.42%,00:04:04,0.01
phone vibrate,978,1.67,51.23%,32.74%,00:03:17,0.01
sci-fi,978,3.68,34.76%,20.08%,00:04:56,0.07
sport,977,2.31,27.43%,35.48%,00:02:08,0.05
brick,976,2.57,27.36%,32.07%,00:03:13,0.02
pacman,974,1.83,43.22%,38.83%,00:02:52,0.03
tinnitus,974,1.93,59.03%,24.27%,00:03:33,0.03
unlock,974,1.95,31.42%,38.86%,00:02:35,<0.01
whip crack,974,2.12,42.81%,31.01%,00:03:03,0.01
creaking door,973,2.22,38.23%,30.90%,00:03:35,0.02
loading,973,2.36,27.75%,33.87%,00:02:03,0.02
strong wind,972,1.86,36.11%,38.71%,00:04:01,<0.01
pop music,971,2.40,36.97%,30.80%,00:03:32,0.01
ball bounce,970,2.29,33.40%,33.44%,00:03:46,0.01
jet engine,969,2.34,37.25%,30.58%,00:03:42,<0.01
water dripping,969,2.49,30.55%,31.40%,00:04:04,0.01
body hit,967,2.54,29.78%,31.24%,00:03:42,<0.01
high pitch,966,2.19,31.16%,35.32%,00:03:04,0.03
crazy,965,2.24,20.41%,37.77%,00:02:49,0.03
tom,965,3.10,34.30%,23.31%,00:03:24,0.05
city traffic,964,2.00,30.19%,37.59%,00:04:05,<0.01
introduction,964,2.63,30.91%,29.29%,00:03:14,0.07
shot gun,964,2.18,35.68%,32.64%,00:02:59,0.02
cymbals,963,3.02,35.93%,23.64%,00:03:20,0.01
plane crash,962,1.53,26.82%,55.82%,00:02:24,0.02
insects,961,2.42,27.37%,33.76%,00:03:26,0.02
sting,961,2.49,32.15%,30.00%,00:03:14,0.04
spider,959,1.98,27.42%,40.65%,00:03:03,0.03
child laugh,957,2.33,33.23%,31.78%,00:03:28,0.02
dub,957,3.18,35.84%,21.86%,00:03:49,0.19
frogs,957,2.35,35.95%,30.23%,00:03:51,0.03
lick,956,2.04,28.14%,40.38%,00:03:41,0.01
light wind,956,2.02,32.85%,36.10%,00:03:31,<0.01
coffee shop,955,2.10,40.84%,31.97%,00:03:50,0.03
super mario,955,1.62,34.97%,45.52%,00:02:14,0.02
up,955,2.46,16.86%,36.28%,00:02:32,0.04
horror scream,954,2.49,40.15%,26.23%,00:03:30,0.01
china,953,3.09,33.79%,24.75%,00:03:49,0.03
weird,952,2.75,28.05%,28.44%,00:03:27,0.05
crescendo,951,2.99,34.49%,24.95%,00:04:14,0.05
jail,950,2.25,26.11%,38.80%,00:03:25,0.02
marimba,950,2.35,37.26%,30.56%,00:03:31,0.07
laugh track,949,1.59,32.14%,46.42%,00:01:39,0.02
metal crash,949,2.33,25.08%,35.14%,00:03:28,<0.01
heavy rain,944,2.03,34.43%,36.56%,00:03:49,0.02
ominous,944,2.42,39.83%,27.67%,00:04:16,0.01
shh,944,1.47,31.89%,53.78%,00:03:03,0.01
squeeze,942,2.24,18.26%,40.61%,00:02:59,0.02
squirt,941,2.39,24.65%,35.55%,00:03:12,0.02
concrete,939,2.65,20.55%,33.07%,00:03:18,0.02
debris,939,2.67,29.61%,29.99%,00:04:24,0.01
bonfire,938,1.81,34.75%,40.24%,00:03:28,0.01
cool,938,2.27,25.05%,36.27%,00:02:33,0.06
kettle,938,1.81,24.95%,46.00%,00:03:47,0.01
rocket launch,938,2.32,42.11%,28.32%,00:04:08,0.02
shovel,938,2.33,28.57%,34.84%,00:04:08,0.01
oh my god,937,2.27,30.31%,35.80%,00:03:15,<0.01
tram,937,2.16,33.94%,35.64%,00:04:00,0.03
tic tac,936,2.23,33.65%,33.24%,00:03:47,0.02
shield,935,2.95,24.81%,30.00%,00:04:02,0.01
whoop,935,1.74,21.82%,48.68%,00:02:17,0.03
hallelujah,934,1.64,45.07%,38.84%,00:03:09,0.03
light saber,932,1.92,42.17%,35.94%,00:03:21,0.06
signal,932,2.53,20.60%,35.06%,00:03:04,0.02
cows,929,2.49,31.75%,30.96%,00:04:18,<0.01
countryside,928,2.56,36.31%,28.70%,00:04:02,0.02
old radio,928,2.60,35.67%,28.68%,00:03:46,0.03
woman screaming,928,2.30,35.02%,32.18%,00:03:40,<0.01
bones,927,2.39,31.39%,32.54%,00:03:38,0.01
falling down,927,2.53,20.71%,36.27%,00:03:32,<0.01
positive,927,2.73,26.00%,31.44%,00:03:00,0.03
technology,926,2.45,30.78%,31.56%,00:03:22,0.03
boiling water,925,1.84,29.62%,41.21%,00:04:00,0.02
earth,925,2.07,19.03%,42.69%,00:02:46,0.02
question,924,2.21,26.73%,38.01%,00:03:27,0.01
harmonica,923,2.64,41.17%,25.54%,00:03:51,0.01
Punch,923,1.98,47.56%,29.39%,00:03:04,0.01
count down,921,2.36,32.90%,34.16%,00:03:01,0.02
car motor,920,2.21,26.63%,36.54%,00:03:45,0.02
cats,920,2.78,33.91%,27.22%,00:03:40,0.02
squelch,920,2.23,30.00%,35.60%,00:03:43,0.02
dinner,917,2.38,22.68%,37.52%,00:03:07,<0.01
animation,916,2.84,27.18%,28.14%,00:03:37,0.03
man screaming,916,2.05,31.22%,36.58%,00:03:39,0.02
mechanic,916,2.43,25.44%,33.68%,00:03:06,0.03
popcorn,916,2.23,33.62%,33.41%,00:03:26,0.03
backspin,915,1.32,59.23%,34.57%,00:02:02,0.03
check,915,2.18,22.08%,40.37%,00:02:16,0.02
pee,915,2.03,35.52%,37.04%,00:03:13,0.01
mobile phone,914,2.48,23.52%,33.69%,00:02:31,<0.01
cock,913,1.79,31.00%,42.15%,00:03:01,0.05
supermarket,912,2.16,39.36%,32.77%,00:04:04,0.03
can,911,2.10,22.06%,41.19%,00:02:55,0.03
egg,911,2.58,25.80%,32.65%,00:03:56,0.01
jump scare,911,2.48,27.88%,32.24%,00:02:54,0.04
kid,911,2.44,20.09%,35.66%,00:02:23,0.03
remix,910,2.03,34.29%,36.22%,00:02:15,0.05
bowling,909,2.63,37.40%,28.85%,00:03:50,0.02
tense,909,2.23,33.66%,33.71%,00:03:43,0.03
cicadas,908,2.40,38.66%,29.07%,00:03:46,0.03
growing,907,1.96,22.60%,44.61%,00:02:55,0.04
brakes,906,2.06,16.45%,45.40%,00:02:10,0.01
glasses,906,2.08,20.53%,42.74%,00:02:35,<0.01
swimming pool,905,2.24,37.24%,32.76%,00:03:15,0.02
tuba,905,2.00,29.61%,41.26%,00:02:57,0.01
loops,904,3.57,44.25%,16.97%,00:04:35,0.12
snare drum,904,2.98,28.76%,27.06%,00:03:13,0.02
foley,903,3.27,29.24%,23.86%,00:03:44,0.11
fox,903,1.98,26.80%,42.15%,00:02:49,0.02
soundscape,903,3.08,32.45%,24.23%,00:04:03,0.06
accordion,902,2.82,43.35%,24.65%,00:04:35,0.01
barking,902,2.41,33.70%,30.18%,00:03:17,0.02
car sound,902,2.20,23.73%,38.07%,00:03:06,0.01
grow,902,1.99,14.52%,46.96%,00:03:04,0.01
trash,901,2.04,25.75%,40.31%,00:02:58,0.01
bathroom,900,2.50,24.44%,33.93%,00:03:44,0.03
funeral,899,2.28,27.92%,37.82%,00:03:22,0.01
write,898,2.13,33.96%,34.59%,00:03:40,0.06
email,897,2.31,30.55%,34.33%,00:02:28,0.05
samba,897,2.79,45.04%,23.70%,00:04:28,0.07
shimmer,897,2.04,22.30%,43.43%,00:02:49,0.02
india,896,2.90,28.35%,28.99%,00:03:41,<0.01
propeller,895,2.42,33.85%,31.58%,00:03:32,0.02
running water,895,1.84,24.92%,44.09%,00:03:22,<0.01
sound effect,894,2.97,27.52%,26.32%,00:03:52,0.18
texting,892,1.96,29.15%,42.07%,00:03:00,0.01
coughing,891,2.08,27.38%,39.87%,00:03:05,0.03
guitar riff,891,2.51,37.49%,28.39%,00:03:40,0.01
running footsteps,890,2.68,24.72%,32.38%,00:04:21,0.01
toy,890,3.38,27.53%,24.53%,00:04:03,0.02
tree falling,890,2.05,33.03%,36.17%,00:03:40,0.01
wobble,889,2.52,29.25%,31.04%,00:03:46,0.04
ping pong,888,2.25,38.51%,30.66%,00:03:36,0.04
breaking news,886,1.91,39.28%,36.79%,00:02:20,0.01
butterfly,885,1.84,28.59%,43.50%,00:03:27,0.02
chaos,884,1.89,20.48%,46.03%,00:03:04,<0.01
soft music,884,2.22,36.88%,31.96%,00:03:54,0.02
wood break,884,2.27,27.94%,34.84%,00:03:23,0.02
keyboard typing,883,1.76,41.11%,36.59%,00:03:34,0.03
car door open,882,1.82,25.17%,44.23%,00:03:51,<0.01
hair,882,2.45,24.15%,36.13%,00:03:33,<0.01
Music,882,2.59,41.04%,24.75%,00:03:00,0.02
guitar feedback,881,2.68,69.81%,13.02%,00:03:48,0.04
library,881,2.16,38.82%,32.81%,00:03:48,0.01
hardstyle,880,4.24,56.59%,12.36%,00:04:07,0.02
human,880,3.07,25.11%,26.47%,00:02:58,0.10
pistol shot,880,2.58,43.18%,24.20%,00:04:03,0.02
beeping,879,2.59,26.28%,32.66%,00:03:17,0.02
right,879,1.69,15.13%,55.43%,00:01:17,<0.01
bats,878,2.33,30.30%,34.88%,00:03:48,0.02
roomtone,877,2.10,44.24%,32.09%,00:03:54,0.02
whatsapp,876,1.30,28.88%,60.16%,00:01:46,0.02
girl laugh,875,2.45,32.80%,30.84%,00:03:30,0.01
cutting,874,2.17,17.28%,44.59%,00:02:44,0.01
outdoor,874,2.13,30.78%,35.89%,00:03:18,0.03
balloon pop,873,2.01,38.72%,34.15%,00:03:17,0.01
ching,873,1.58,18.56%,57.19%,00:01:35,0.01
metal impact,871,2.88,29.28%,26.99%,00:04:19,0.01
pan,870,2.06,27.36%,38.46%,00:02:31,0.04
blowing,869,2.21,22.44%,40.55%,00:03:10,0.01
destruction,867,2.56,21.57%,34.11%,00:03:46,0.02
car skid,866,1.79,35.33%,40.76%,00:03:28,0.01
city street,866,1.86,42.38%,34.00%,00:03:16,<0.01
gorilla,862,1.47,21.00%,61.37%,00:01:30,<0.01
ak47,861,1.94,36.82%,36.63%,00:02:53,0.01
cartoon music,861,2.45,37.51%,29.02%,00:03:54,0.01
chomp,861,1.93,29.85%,40.96%,00:03:05,0.02
grandfather clock,861,2.44,43.44%,27.10%,00:03:43,0.02
car stopping,860,2.37,22.44%,37.16%,00:03:35,<0.01
flush,860,1.82,41.28%,34.29%,00:03:13,0.02
Car,859,2.18,32.13%,34.56%,00:02:51,0.04
cling,859,1.95,18.28%,47.05%,00:02:15,<0.01
protest,857,2.74,35.01%,29.75%,00:03:56,0.02
relaxing,857,2.54,33.37%,28.58%,00:03:32,0.09
roller coaster,857,2.27,40.49%,32.06%,00:04:00,0.02
thank you,857,2.93,37.69%,26.69%,00:02:57,<0.01
phone beep,855,1.81,38.13%,37.51%,00:02:37,0.01
small explosion,855,2.12,28.42%,36.87%,00:03:07,0.01
iron,854,2.15,20.84%,41.24%,00:02:46,0.02
servo,854,2.93,40.16%,23.54%,00:04:48,0.06
superman,854,1.23,19.09%,70.40%,00:01:08,<0.01
wheels,854,2.48,16.28%,38.65%,00:03:05,<0.01
fast car,853,2.40,23.80%,35.83%,00:03:28,0.02
clothing,852,2.31,28.99%,34.73%,00:04:16,<0.01
door shut,852,1.93,28.64%,39.83%,00:03:06,0.02
metro,852,2.08,31.92%,36.48%,00:03:03,0.03
orchestral,852,3.59,40.49%,20.41%,00:04:56,0.07
woman crying,852,1.81,35.80%,38.92%,00:03:39,<0.01
champagne,851,1.95,38.90%,35.16%,00:03:07,<0.01
vhs,851,2.22,49.82%,25.72%,00:03:52,0.05
modem,850,1.89,49.29%,29.46%,00:03:22,0.05
ending,849,2.59,30.62%,30.18%,00:03:10,<0.01
censor beep,848,1.39,75.83%,17.94%,00:02:10,0.05
damage,848,2.93,26.30%,29.27%,00:03:31,0.02
superhero,848,1.24,16.16%,72.98%,00:01:26,0.02
bone,847,2.50,33.88%,29.66%,00:03:43,0.02
freeze,847,2.32,25.62%,36.00%,00:03:00,<0.01
glass smash,846,2.11,37.23%,32.44%,00:03:22,<0.01
swamp,846,2.47,36.52%,29.24%,00:04:08,0.03
weapon,846,2.90,25.65%,28.33%,00:02:41,0.03
bass guitar,843,3.00,39.62%,22.62%,00:03:58,0.04
flamethrower,843,1.62,37.37%,42.58%,00:03:24,0.01
sea waves,843,2.02,41.52%,30.97%,00:03:44,0.01
christmas,842,2.69,34.68%,27.86%,00:03:18,0.01
pasos,841,1.92,24.73%,47.52%,00:03:59,0.02
blender,840,1.88,32.02%,40.56%,00:03:42,0.06
cards,840,2.35,32.74%,32.39%,00:04:03,0.02
dun,840,1.83,52.26%,29.45%,00:02:24,0.02
foghorn,840,2.00,43.93%,31.81%,00:03:02,0.02
turn on,840,1.24,13.10%,76.97%,00:01:36,<0.01
chanting,838,2.42,28.52%,33.86%,00:03:21,0.03
klaxon,838,2.37,32.22%,33.00%,00:02:50,0.04
morning birds,838,1.85,39.98%,34.84%,00:04:01,<0.01
8-bit,837,4.32,39.67%,17.22%,00:04:15,0.03
aircraft,837,2.69,32.74%,27.39%,00:03:23,0.03
angelic,837,2.46,37.28%,28.11%,00:04:02,0.03
birdsong,837,2.09,44.21%,31.37%,00:03:37,0.03
Horror,837,2.82,49.10%,20.70%,00:03:58,0.02
mp3,837,3.83,50.66%,14.82%,00:02:49,0.07
armor,836,2.22,28.95%,38.80%,00:03:36,0.02
moving,836,2.34,16.27%,39.56%,00:02:30,0.01
screem,836,1.52,20.93%,59.84%,00:02:03,0.01
throwing,836,2.24,16.87%,41.85%,00:02:52,<0.01
didgeridoo,835,2.51,52.34%,21.92%,00:04:17,0.06
hitting,835,2.28,17.49%,40.65%,00:03:05,0.05
news intro,834,2.25,58.27%,22.55%,00:03:30,0.03
turn,834,2.02,13.31%,45.97%,00:01:49,0.02
dice,833,2.52,42.98%,25.58%,00:04:07,0.03
horse neigh,833,1.95,33.61%,38.48%,00:03:44,0.01
shoes,833,2.34,20.53%,39.22%,00:03:35,<0.01
mumble,832,2.21,19.83%,42.29%,00:03:40,0.04
tv on,832,1.13,9.50%,85.55%,00:00:37,0.00
welding,832,1.94,33.05%,37.89%,00:04:03,0.04
wall,831,2.34,17.81%,39.31%,00:02:51,<0.01
birthday,830,2.39,37.47%,30.35%,00:02:46,0.02
car brakes,830,1.99,28.92%,40.17%,00:03:15,0.03
complete,828,3.13,28.26%,25.90%,00:03:16,<0.01
count,828,2.49,30.80%,32.57%,00:02:30,0.01
base,827,2.32,26.00%,35.28%,00:02:36,0.07
Footsteps,827,2.42,32.16%,31.92%,00:03:48,0.01
god,827,1.90,17.17%,46.31%,00:02:02,0.02
hat,827,2.51,30.47%,30.83%,00:02:54,0.02
hihat,827,3.21,43.65%,19.75%,00:03:43,0.06
home,827,2.03,20.68%,42.26%,00:02:14,<0.01
lightbulb,827,1.89,22.73%,47.12%,00:02:26,0.01
Fire,826,2.10,33.78%,36.35%,00:03:36,0.02
wind trees,826,2.09,37.05%,32.73%,00:04:05,0.01
water drip,825,2.32,32.12%,31.68%,00:04:08,0.02
windows,825,1.76,20.97%,48.93%,00:01:35,<0.01
drunk,824,2.39,27.18%,34.43%,00:03:21,0.07
pouring water,824,1.96,24.88%,44.31%,00:03:20,0.01
struggle,824,2.02,13.83%,47.99%,00:02:57,<0.01
air raid siren,823,2.45,45.81%,27.42%,00:03:45,0.03
title,823,2.55,37.67%,27.88%,00:03:11,0.03
cart,821,2.40,25.46%,36.07%,00:03:22,0.01
horror ambience,821,2.75,39.83%,24.78%,00:05:07,<0.01
toast,821,1.83,19.85%,47.30%,00:02:44,0.01
car drive,818,2.37,22.74%,36.98%,00:04:00,0.02
spotlight,818,1.66,42.18%,40.55%,00:02:58,0.03
blob,817,1.47,18.24%,60.12%,00:01:53,0.03
female orgasm,817,2.36,67.56%,16.29%,00:03:12,0.03
blizzard,816,1.62,36.40%,43.43%,00:03:16,0.02
russian,816,3.61,28.43%,23.80%,00:03:42,0.03
music loop,815,4.27,45.28%,14.90%,00:06:32,0.03
mobile,814,2.08,18.55%,42.87%,00:02:14,0.01
scribble,811,1.76,38.96%,38.29%,00:03:23,0.02
forest night,810,2.58,36.91%,27.66%,00:04:50,0.02
lounge,810,2.24,31.98%,33.59%,00:02:51,0.08
sad trombone,810,1.58,50.49%,35.41%,00:03:03,0.03
deep bass,809,2.56,31.15%,28.65%,00:03:25,0.01
pinball,809,2.50,38.94%,28.17%,00:03:54,0.03
film projector,808,2.13,58.04%,22.51%,00:03:36,0.04
generator,808,2.53,33.17%,30.33%,00:03:45,<0.01
suprise,808,1.52,20.30%,60.98%,00:01:50,0.02
cartoon fall,807,1.87,24.66%,45.86%,00:03:15,<0.01
clash,807,2.04,17.35%,44.38%,00:02:14,<0.01
fishing,807,2.50,25.77%,34.76%,00:03:22,0.02
Gun,807,2.29,43.99%,26.90%,00:02:34,0.02
leaf,807,2.20,22.68%,38.57%,00:02:59,0.01
lights,807,2.35,23.30%,36.67%,00:03:21,0.01
fuse,806,1.86,32.51%,42.09%,00:03:49,0.03
hammering,806,2.20,26.18%,38.35%,00:03:18,0.01
mail,806,2.17,26.43%,38.14%,00:01:56,0.03
police car,806,2.01,29.90%,38.97%,00:03:34,0.03
crowd noise,805,2.04,30.56%,39.27%,00:02:39,0.02
lost,805,2.20,23.60%,38.02%,00:02:31,<0.01
car honk,803,1.92,35.49%,36.53%,00:03:23,0.01
minion,803,1.76,33.13%,44.70%,00:01:53,0.05
tropical,803,2.38,30.14%,33.98%,00:02:31,0.04
town,802,2.24,27.06%,36.58%,00:03:10,0.03
dungeon,801,2.65,42.32%,24.33%,00:04:00,0.04
iphone ring,801,1.30,26.09%,62.20%,00:01:41,<0.01
game sounds,799,3.80,35.04%,18.06%,00:03:59,0.06
thinking,799,1.97,20.90%,43.94%,00:02:49,0.02
chat,798,1.91,21.68%,45.78%,00:01:48,0.01
counter,798,2.30,20.80%,40.86%,00:02:38,0.01
hiphop,798,2.94,42.73%,21.87%,00:04:08,0.05
car interior,797,2.21,37.64%,31.01%,00:04:08,0.01
chirp,797,2.15,25.47%,37.49%,00:02:35,0.06
wooden door,797,2.38,22.21%,36.73%,00:03:53,0.01
bouncing,796,2.49,19.35%,36.39%,00:03:26,<0.01
steel,796,2.44,23.87%,35.22%,00:03:17,0.03
surprised,796,2.38,24.87%,35.13%,00:03:52,0.01
woohoo,796,1.58,29.90%,51.55%,00:02:40,0.03
distortion,794,2.68,36.40%,26.04%,00:03:33,0.03
down,794,2.43,19.40%,36.27%,00:02:29,0.05
girl crying,794,1.84,35.52%,39.17%,00:03:51,0.02
zelda,794,1.54,33.38%,51.14%,00:01:42,0.06
gold,793,1.86,24.46%,43.71%,00:02:19,0.03
deep breath,792,2.19,27.90%,37.86%,00:03:15,<0.01
gore,792,3.19,31.82%,25.12%,00:04:23,0.01
joy,791,2.28,20.61%,38.08%,00:02:42,0.04
short,791,3.51,31.73%,20.42%,00:03:02,0.16
tiger roar,791,1.66,29.71%,47.98%,00:02:21,0.04
zombies,791,2.87,33.63%,27.03%,00:04:22,0.06
correct answer,790,1.34,21.65%,65.38%,00:01:23,0.01
stinger,789,2.64,39.54%,26.63%,00:03:25,0.02
