Method,MPS (types),MPS (tokens)
author tags,6.46,26624.80
normalized tags,8.28,41465.40
raw tags,9.27,47722.68
normalized tags,14.32,65032.32
conservative normalized tags,12.26,61284.92
conservative normalized tags >= 2,11.39,58939.02
conservative normalized tags >= 5,10.21,54126.32
raw tags,15.12,69815.83
conservative raw tags,12.94,65824.70
conservative raw tags >= 2,11.94,63099.79
conservative raw tags >= 5,10.62,57841.05
